Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Digi-Key Part Number,MPN,Color,DNF,Info
40,General Purpose Amplifier 1 Circuit Rail-to-Rail 8-SOIC,TLV271,U6,TLV271,SOIC-8_3.9x4.9mm_P1.27mm,1,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftlv271-q1,296-38281-1-ND,TLV271QDRQ1,,,
41,"Three pin ceramic resonator, small symbol",Resonator_Small,Y1,16MHz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,https://www.murata.com/en/products/productdata/8801162231838/SPEC-CSTNE16M0V530000R0.pdf,490-17948-1-ND,CSTNE16M0V530000R0,,,





Component Groups:,41
Component Count:,96
Fitted Components:,96
Number of PCBs:,1
Total components:,96
Schematic Version:,1
Schematic Date:,2022-05-08
PCB Variant:,default
BoM Date:,22/05/2022 21:42:45
Schematic Source:,lmm_retrofit.kicad_sch
KiCad Version:,Eeschema (6.0.5)
